"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"18161","727_2_K","727",2,"K",1.64192242336229,2.28384484672458,1,1.703969709541,1.94640095754354,1.46153846153846,1.67294606645165
"18162","727_2_L","727",2,"L",1.79320464492947,2.58640928985893,1,1.44494078742115,1.88988157484231,1,1.61907271617531
"18163","727_2_M","727",2,"M",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"18164","727_2_N","727",2,"N",NA,NA,NA,NA,NA,NA,NA
"18165","727_2_O","727",2,"O",1.22878463249055,1.45756926498109,1,NA,NA,NA,1.22878463249055
"18166","727_2_P","727",2,"P",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"18167","727_2_Q","727",2,"Q",1.2845962916071,1.5691925832142,1,NA,NA,NA,1.2845962916071
"18168","727_2_R","727",2,"R",1,1,1,NA,NA,NA,1
"18169","727_2_S","727",2,"S",1.43587091532985,1.8717418306597,1,1.79730602971332,2.29798486781253,1.2966271916141,1.61658847252158
"18170","727_2_T","727",2,"T",1,1,1,NA,NA,NA,1
"18171","727_2_V","727",2,"V",1.24465067234151,1.48930134468302,1,1.73011648814455,2.4602329762891,1,1.48738358024303
"18172","727_2_W","727",2,"W",1,1,1,1,1,1,1
"18173","727_2_X","727",2,"X",1.49383348750121,1.98766697500242,1,1.80931137273468,2.2898757706222,1.32874697484717,1.65157243011795
"18174","727_2_Y","727",2,"Y",1,1,1,1,1,1,1
"18175","727_2_Z","727",2,"Z",1,1,1,2.38988157484231,3.77976314968462,1,1.69494078742115
"18176","728_2_C","728",2,"C",1.40948425582659,1.81896851165317,1,1.37738267530166,1.75476535060332,1,1.39343346556412
"18177","728_2_A","728",2,"A",1,1,1,NA,NA,NA,1
"18178","728_2_B","728",2,"B",1.70064460701774,2.40128921403548,1,1,1,1,1.35032230350887
"18179","728_2_D","728",2,"D",2.00687811522523,3.01375623045046,1,1.33333333333333,1.66666666666667,1,1.67010572427928
"18180","728_2_E","728",2,"E",1.5,2,1,1,1,1,1.25
"18181","728_2_F","728",2,"F",1.7526741728056,2.5053483456112,1,1.44494078742115,1,1.88988157484231,1.59880748011338
"18182","728_2_G","728",2,"G",1.11965771536453,1.23931543072907,1,1,1,1,1.05982885768227
"18183","728_2_H","728",2,"H",1.97085671054159,2.94171342108318,1,NA,NA,NA,1.97085671054159
"18184","728_2_I","728",2,"I",1.72751257204743,2.45502514409486,1,1.47405884391169,1.50317690040222,1.44494078742115,1.60078570797956
"18185","728_2_J","728",2,"J",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"18186","728_2_K","728",2,"K",1.58972012854739,2.17944025709478,1,2.21829033876897,2.8531246119389,1.58345606559903,1.90400523365818
"18187","728_2_L","728",2,"L",1.79320464492947,2.58640928985893,1,1.44494078742115,1.88988157484231,1,1.61907271617531
"18188","728_2_M","728",2,"M",1,1,1,1,1,1,1
"18189","728_2_N","728",2,"N",1,1,1,NA,NA,NA,1
"18190","728_2_O","728",2,"O",1.5,2,1,NA,NA,NA,1.5
"18191","728_2_P","728",2,"P",1.5,2,1,NA,NA,NA,1.5
"18192","728_2_Q","728",2,"Q",1,1,1,NA,NA,NA,1
"18193","728_2_R","728",2,"R",1.32469244423306,1.64938488846612,1,NA,NA,NA,1.32469244423306
"18194","728_2_S","728",2,"S",1.20870559056587,1.41741118113173,1,1.5,2,1,1.35435279528293
"18195","728_2_T","728",2,"T",1,1,1,1,1,1,1
"18196","728_2_V","728",2,"V",1.16610284562472,1.33220569124945,1,2.07761232354064,3.15522464708129,1,1.62185758458268
"18197","728_2_W","728",2,"W",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"18198","728_2_X","728",2,"X",1.59102399515405,2.18204799030809,1,1.54020765903036,1.70626104962363,1.37415426843709,1.5656158270922
"18199","728_2_Y","728",2,"Y",1.52872122947803,2.05744245895607,1,1,1,1,1.26436061473902
"18200","728_2_Z","728",2,"Z",1.49861527790608,1.99723055581216,1,1.83448945648821,2.29159623767476,1.37738267530166,1.66655236719714
"18201","729_2_C","729",2,"C",1.64942336374188,2.29884672748375,1,1,1,1,1.32471168187094
"18202","729_2_A","729",2,"A",1,1,1,NA,NA,NA,1
"18203","729_2_B","729",2,"B",1.37738267530166,1.75476535060332,1,1,1,1,1.18869133765083
"18204","729_2_D","729",2,"D",2.00687811522523,3.01375623045046,1,1.33333333333333,1.66666666666667,1,1.67010572427928
"18205","729_2_E","729",2,"E",1,1,1,1,1,1,1
"18206","729_2_F","729",2,"F",NA,NA,NA,NA,NA,NA,NA
"18207","729_2_G","729",2,"G",1.11965771536453,1.23931543072907,1,1,1,1,1.05982885768227
"18208","729_2_H","729",2,"H",1.97085671054159,2.94171342108318,1,NA,NA,NA,1.97085671054159
"18209","729_2_I","729",2,"I",1.64055175759383,2.28110351518765,1,1.81133781696164,2.33696134820899,1.28571428571429,1.72594478727773
"18210","729_2_J","729",2,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"18211","729_2_K","729",2,"K",1.78625750752858,2.57251501505715,1,1.91293292096202,2.33605267689777,1.48981316502626,1.8495952142453
"18212","729_2_L","729",2,"L",1,1,1,1,1,1,1
"18213","729_2_M","729",2,"M",1,1,1,1,1,1,1
"18214","729_2_N","729",2,"N",NA,NA,NA,NA,NA,NA,NA
"18215","729_2_O","729",2,"O",1.78428380370778,2.56856760741556,1,1,1,1,1.39214190185389
"18216","729_2_P","729",2,"P",1,1,1,NA,NA,NA,1
"18217","729_2_Q","729",2,"Q",1.44494078742115,1.88988157484231,1,1.44494078742115,1,1.88988157484231,1.44494078742115
"18218","729_2_R","729",2,"R",1,1,1,NA,NA,NA,1
"18219","729_2_S","729",2,"S",1.48981316502626,1.97962633005252,1,1.99833532235117,2.46274169979695,1.53392894490539,1.74407424368871
"18220","729_2_T","729",2,"T",1,1,1,1,1,1,1
"18221","729_2_V","729",2,"V",1,1,1,1.5,2,1,1.25
"18222","729_2_W","729",2,"W",1.25349653288627,1.50699306577254,1,1.48006585210389,1,1.96013170420779,1.36678119249508
"18223","729_2_X","729",2,"X",1.48614299004096,1.97228598008191,1,1.82767053744122,2.32200774154911,1.33333333333333,1.65690676374109
"18224","729_2_Y","729",2,"Y",1,1,1,NA,NA,NA,1
